Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
3/24/00,AQS,360610010,1,16.5,ug/m3 LC,60,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
3/25/00,AQS,360610010,1,22.5,ug/m3 LC,73,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
3/26/00,AQS,360610010,1,12,ug/m3 LC,50,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
3/27/00,AQS,360610010,1,10.9,ug/m3 LC,45,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
3/28/00,AQS,360610010,1,11.3,ug/m3 LC,47,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
3/29/00,AQS,360610010,1,14.7,ug/m3 LC,56,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
3/30/00,AQS,360610010,1,15.6,ug/m3 LC,58,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
3/31/00,AQS,360610010,1,9,ug/m3 LC,38,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
4/1/00,AQS,360610010,1,12.7,ug/m3 LC,52,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
4/2/00,AQS,360610010,1,15.9,ug/m3 LC,59,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
4/3/00,AQS,360610010,1,28.3,ug/m3 LC,85,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
4/4/00,AQS,360610010,1,11.8,ug/m3 LC,49,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
4/5/00,AQS,360610010,1,8.9,ug/m3 LC,37,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
4/7/00,AQS,360610010,1,13.1,ug/m3 LC,53,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
4/8/00,AQS,360610010,1,16.1,ug/m3 LC,59,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
4/9/00,AQS,360610010,1,5.1,ug/m3 LC,21,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
4/10/00,AQS,360610010,1,10.9,ug/m3 LC,45,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
4/11/00,AQS,360610010,1,14.6,ug/m3 LC,56,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
4/12/00,AQS,360610010,1,14.6,ug/m3 LC,56,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
4/13/00,AQS,360610010,1,10.9,ug/m3 LC,45,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
4/14/00,AQS,360610010,1,11.6,ug/m3 LC,48,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
4/15/00,AQS,360610010,1,26.7,ug/m3 LC,82,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
4/16/00,AQS,360610010,1,15.3,ug/m3 LC,58,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
4/17/00,AQS,360610010,1,11.5,ug/m3 LC,48,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
4/19/00,AQS,360610010,1,8.1,ug/m3 LC,34,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
4/20/00,AQS,360610010,1,12.8,ug/m3 LC,52,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
4/21/00,AQS,360610010,1,7.8,ug/m3 LC,33,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
4/22/00,AQS,360610010,1,7.9,ug/m3 LC,33,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
4/23/00,AQS,360610010,1,5.1,ug/m3 LC,21,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
4/24/00,AQS,360610010,1,8.1,ug/m3 LC,34,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
4/25/00,AQS,360610010,1,6.4,ug/m3 LC,27,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
4/26/00,AQS,360610010,1,6.3,ug/m3 LC,26,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
4/27/00,AQS,360610010,1,15.8,ug/m3 LC,59,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
4/28/00,AQS,360610010,1,27.1,ug/m3 LC,83,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
4/29/00,AQS,360610010,1,20.7,ug/m3 LC,69,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
4/30/00,AQS,360610010,1,7.4,ug/m3 LC,31,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
5/1/00,AQS,360610010,1,10.2,ug/m3 LC,43,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
5/2/00,AQS,360610010,1,13.5,ug/m3 LC,54,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
5/3/00,AQS,360610010,1,12.8,ug/m3 LC,52,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
5/4/00,AQS,360610010,1,11,ug/m3 LC,46,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
5/6/00,AQS,360610010,1,31.1,ug/m3 LC,91,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
5/7/00,AQS,360610010,1,29.8,ug/m3 LC,88,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
5/9/00,AQS,360610010,1,36.4,ug/m3 LC,103,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
5/10/00,AQS,360610010,1,15.8,ug/m3 LC,59,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
5/11/00,AQS,360610010,1,9,ug/m3 LC,38,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
5/12/00,AQS,360610010,1,9.2,ug/m3 LC,38,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
5/13/00,AQS,360610010,1,16.6,ug/m3 LC,60,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
5/14/00,AQS,360610010,1,8.6,ug/m3 LC,36,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
5/15/00,AQS,360610010,1,9.2,ug/m3 LC,38,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
5/16/00,AQS,360610010,1,12.7,ug/m3 LC,52,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
5/17/00,AQS,360610010,1,18.8,ug/m3 LC,65,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
5/18/00,AQS,360610010,1,22.1,ug/m3 LC,72,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
5/19/00,AQS,360610010,1,10.6,ug/m3 LC,44,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
5/20/00,AQS,360610010,1,11.7,ug/m3 LC,49,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
5/21/00,AQS,360610010,1,15.7,ug/m3 LC,59,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
5/22/00,AQS,360610010,1,16.8,ug/m3 LC,61,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
5/23/00,AQS,360610010,1,22.8,ug/m3 LC,74,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
5/24/00,AQS,360610010,1,14.9,ug/m3 LC,57,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
5/25/00,AQS,360610010,1,14.7,ug/m3 LC,56,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
5/26/00,AQS,360610010,1,8.5,ug/m3 LC,35,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
5/27/00,AQS,360610010,1,10.9,ug/m3 LC,45,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
5/28/00,AQS,360610010,1,6.9,ug/m3 LC,29,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
5/29/00,AQS,360610010,1,5.3,ug/m3 LC,22,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
5/30/00,AQS,360610010,1,8.8,ug/m3 LC,37,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
5/31/00,AQS,360610010,1,14.7,ug/m3 LC,56,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
6/1/00,AQS,360610010,1,33.5,ug/m3 LC,96,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
6/2/00,AQS,360610010,1,34.9,ug/m3 LC,99,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
6/3/00,AQS,360610010,1,7.6,ug/m3 LC,32,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
6/4/00,AQS,360610010,1,9.3,ug/m3 LC,39,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
6/5/00,AQS,360610010,1,6.4,ug/m3 LC,27,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
