Date,Price,Open,High,Low,Vol.,Change %
3/4/13,"14,127.82","14,089.66","14,128.21","14,030.37",110.81M,0.27%
3/5/13,"14,253.77","14,127.82","14,286.37","14,127.82",112.10M,0.89%
3/6/13,"14,296.24","14,253.77","14,320.65","14,253.00",116.51M,0.30%
3/7/13,"14,329.49","14,296.24","14,354.69","14,296.24",117.08M,0.23%
3/8/13,"14,397.07","14,329.49","14,413.17","14,329.49",115.63M,0.47%
3/11/13,"14,447.29","14,397.07","14,448.06","14,373.32",94.88M,0.35%
3/12/13,"14,450.06","14,447.29","14,478.80","14,412.06",102.10M,0.02%
3/13/13,"14,455.28","14,450.06","14,472.80","14,411.66",83.92M,0.04%
3/14/13,"14,539.14","14,455.28","14,539.29","14,455.28",117.39M,0.58%
3/15/13,"14,514.11","14,539.14","14,539.14","14,470.50",407.77M,-0.17%
3/18/13,"14,452.06","14,514.11","14,521.59","14,404.21",119.64M,-0.43%
3/19/13,"14,455.82","14,452.06","14,514.34","14,382.09",122.17M,0.03%
3/20/13,"14,511.73","14,455.82","14,546.82","14,455.82",121.24M,0.39%
3/21/13,"14,421.49","14,511.73","14,511.73","14,383.02",110.45M,-0.62%
3/22/13,"14,512.03","14,421.49","14,519.95","14,421.49",101.45M,0.63%
3/25/13,"14,447.75","14,512.03","14,563.75","14,395.00",124.84M,-0.44%
3/26/13,"14,559.65","14,447.75","14,561.54","14,447.75",96.03M,0.77%
3/27/13,"14,526.16","14,559.65","14,559.65","14,439.55",92.68M,-0.23%
3/28/13,"14,578.54","14,526.16","14,585.10","14,520.86",153.71M,0.36%
4/1/13,"14,572.85","14,578.54","14,605.72","14,531.48",91.40M,-0.04%
4/2/13,"14,662.01","14,572.85","14,684.49","14,572.85",98.42M,0.61%
4/3/13,"14,550.35","14,662.01","14,683.13","14,525.36",127.14M,-0.76%
4/4/13,"14,606.11","14,550.35","14,625.24","14,538.72",104.79M,0.38%
4/5/13,"14,565.25","14,606.11","14,606.11","14,434.43",131.25M,-0.28%
4/8/13,"14,613.48","14,565.25","14,613.48","14,497.80",106.68M,0.33%
4/9/13,"14,673.46","14,613.48","14,716.46","14,598.50",128.58M,0.41%
4/10/13,"14,802.24","14,673.46","14,826.66","14,673.46",120.52M,0.88%
4/11/13,"14,865.14","14,802.24","14,887.51","14,785.36",144.57M,0.42%
4/12/13,"14,865.06","14,865.14","14,865.21","14,790.57",119.57M,0.00%
